MODEL,MAKE,VEHICLE_TYPE,VALUE,VALUESTR,TITLE
200,CHRYSLER,PASSENGER,1708,1708,CHRYSLER 200 : 1708
300,CHRYSLER,PASSENGER,1954,1954,CHRYSLER 300 : 1954
328I,BMW,PASSENGER,464,464,BMW 328I : 464
4RUNNER,TOYOTA,PASSENGER,508,508,TOYOTA 4RUNNER : 508
4RUNNER,TOYOTA,SPORT UTILITY VEHICLE (SUV),512,512,TOYOTA 4RUNNER : 512
A4,AUDI,PASSENGER,635,635,AUDI A4 : 635
ACADIA,GENERAL MOTORS CORPORATION (GMC),PASSENGER,619,619,GENERAL MOTORS CORPORATION (GMC) ACADIA : 619
ACADIA,GENERAL MOTORS CORPORATION (GMC),SPORT UTILITY VEHICLE (SUV),627,627,GENERAL MOTORS CORPORATION (GMC) ACADIA : 627
ACCENT,HYUNDAI,PASSENGER,1452,1452,HYUNDAI ACCENT : 1452
ACCORD,HONDA,PASSENGER,8489,8489,HONDA ACCORD : 8489
ALTIMA,NISSAN,PASSENGER,9904,9904,NISSAN ALTIMA : 9904
AVALON,TOYOTA,PASSENGER,1212,1212,TOYOTA AVALON : 1212
AVENGER,DODGE,PASSENGER,804,804,DODGE AVENGER : 804
AVEO,CHEVROLET,PASSENGER,476,476,CHEVROLET AVEO : 476
C300,MERCEDES-BENZ,PASSENGER,605,605,MERCEDES-BENZ C300 : 605
CALIBER,DODGE,PASSENGER,524,524,DODGE CALIBER : 524
CAMARO,CHEVROLET,PASSENGER,906,906,CHEVROLET CAMARO : 906
CAMRY,TOYOTA,PASSENGER,12913,12913,TOYOTA CAMRY : 12913
CAMRY,"TOYOTA MOTOR COMPANY, LTD.",PASSENGER,1232,1232,"TOYOTA MOTOR COMPANY, LTD. CAMRY : 1232"
CARAVAN,DODGE,PASSENGER,806,806,DODGE CARAVAN : 806
CARAVAN,DODGE,VAN/MINI-VAN,2204,2204,DODGE CARAVAN : 2204
CENTURY,BUICK,PASSENGER,516,516,BUICK CENTURY : 516
CHALLENGER,DODGE,PASSENGER,954,954,DODGE CHALLENGER : 954
